AG-X,AG-Y,AG-Z,Acc-X,Axx-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-0.18069059,9.91728,0.48900503,0.4031456,0.24881458,0.26676133,-0.36612085,9.791369,0.40673333,-0.0354573,-0.110973164,-0.026806692,0.40460294,-0.5614836,-0.60101724,0.39976358,downstairs
-1.1484638,10.022681,0.6375247,0.020470887,0.041578293,-0.01076895,-0.35773966,9.791775,0.4044172,0.033784833,-0.08647211,0.028587012,0.4041991,-0.561797,-0.60122323,0.39942187,downstairs
-0.9855714,9.773552,1.1741118,-0.7513912,0.33954048,0.49247783,-0.3886705,9.790288,0.41182256,-0.003499389,0.007271089,-0.17061727,0.4044492,-0.56156814,-0.60228217,0.39789227,downstairs
-0.47293895,9.284874,1.3274225,-0.20882565,-0.54522514,0.89899576,-0.44575533,9.787566,0.41860163,0.023132198,-0.060905777,-0.15357305,0.40550297,-0.5604344,-0.6049889,0.39429563,downstairs
-2.0827005,9.404648,1.0591289,-1.3361101,-0.12560558,0.68931353,-0.47727317,9.785541,0.43105417,-0.29538158,-0.10671212,-0.1812699,0.40323028,-0.5607378,-0.6074273,0.39244172,downstairs
-2.2839208,8.441666,0.62315184,-1.6024415,-1.0569715,0.21149236,-0.66380596,9.766078,0.5945412,-0.8397313,-0.39539853,-0.3240152,0.40412512,-0.5544831,-0.6145499,0.38930684,downstairs
-1.5556953,8.321892,0.7237619,-0.8361706,-1.7201042,-0.2460466,-0.8411025,9.717889,1.0127035,-0.91003865,-0.67556286,-0.19831412,0.3899436,-0.53741246,-0.64165395,0.3839428,downstairs
-1.2538649,10.789234,0.92019117,-0.9580308,1.0383568,-0.0898546,-0.83088607,9.662568,1.4542344,-0.41256055,-0.53494805,-0.085396186,0.37260917,-0.53269273,-0.65729225,0.3812713,downstairs
-2.6240788,10.032264,2.3335235,-1.8170735,0.5376072,0.64954495,-0.94690716,9.599406,1.7678105,-0.39871213,-0.45824906,-0.3357331,0.36750445,-0.5306275,-0.66363955,0.37809715,downstairs
-3.472078,9.366321,1.3657502,-3.010282,-0.32282543,0.41439486,-1.1775384,9.519293,2.041288,-0.69911647,-0.8385482,-0.8268196,0.35672697,-0.51680154,-0.69083405,0.35834393,downstairs
-3.3331404,8.824943,1.6388347,-1.0900028,-0.92607784,-0.3493638,-1.5981088,9.347052,2.4998097,-0.61283016,-1.1687799,-1.0686344,0.34432706,-0.5070781,-0.71697485,0.3320508,downstairs
-2.3941128,7.9242425,2.6976361,-0.40216267,-1.612587,0.2841363,-1.7133276,9.293506,2.6202395,-0.3443837,-1.3051336,-0.9876744,0.32619894,-0.50123996,-0.7456859,0.2937778,downstairs
-2.4036946,7.1481075,3.037794,-0.533669,-2.461584,-0.00158143,-2.0730739,9.130545,2.9164898,0.25216386,-1.1304303,-0.638268,0.31069237,-0.5047687,-0.7620248,0.2607623,downstairs
-2.5330505,6.822323,3.7947655,-0.39714026,-2.5967026,0.30351758,-2.10907,9.136824,2.8706584,0.69531345,-1.0324261,-0.26222992,0.30533633,-0.50908226,-0.7654458,0.24839011,downstairs
0.55232584,12.063629,9.596615,2.0063505,4.2220106,1.5196235,-1.4990368,9.274299,2.81259,0.6590945,-1.0920808,0.63472193,0.2820514,-0.5269796,-0.7684166,0.22863813,downstairs
0.3798514,6.846277,-2.4526427,-0.047005057,-2.8895545,-2.8067114,-1.1816366,9.3540535,2.6973722,0.82207984,-0.8470703,-0.018284583,0.23561046,-0.55546844,-0.7671467,0.21778059,downstairs
0.034902483,10.353257,1.2986767,0.8426845,2.2447891,-1.8206319,-1.1315393,9.405637,2.5345623,0.96162933,-0.42522588,0.08504598,0.23281296,-0.56109303,-0.7650535,0.21369569,downstairs
0.8206194,10.36763,-1.398632,1.9692359,1.2362995,-3.2764883,-0.96546537,9.524722,2.1255417,0.6100924,-0.46144485,0.42166927,0.22634722,-0.58343333,-0.751919,0.20734115,downstairs
0.57148963,11.043156,-0.12902844,0.59757316,1.1971235,-1.9986793,-0.5863926,9.631883,1.7473897,1.0095662,-1.59382,0.56228405,0.20617348,-0.60458475,-0.74333,0.19857064,downstairs
-0.67895013,10.492195,-1.0536832,-0.36415127,0.7839775,-1.8733335,-0.22141977,9.722086,1.2658675,1.1800083,-2.0689275,0.21926919,0.17075118,-0.6355255,-0.73185974,0.1770102,downstairs
1.093704,9.687314,-0.60812414,1.1297871,-0.09719467,-0.52022475,-0.05773587,9.800162,0.3519661,1.6029179,-2.4492266,0.010477533,0.12460501,-0.6784697,-0.71298873,0.12569593,downstairs
0.6098173,9.56754,-0.1002827,1.0396496,-0.9250641,-0.035722762,-0.05871481,9.794697,-0.4804649,1.5113053,-1.9432263,-0.026806692,0.0832468,-0.71748054,-0.68741226,0.07586842,downstairs
-0.36274695,8.992625,-0.29671192,-0.24437845,-0.41727924,0.86524695,-0.14542747,9.735223,-1.1724637,1.2662947,-1.8952895,0.037109118,0.054656208,-0.7431616,-0.6656832,0.039867025,downstairs
0.8781109,9.093236,-0.52667785,0.42783543,-0.6133776,1.0106764,-0.1999976,9.697592,-1.4446784,1.0031745,-2.0050118,0.047761757,0.036866397,-0.75401837,-0.65552217,0.019693,downstairs
2.0518954,8.484784,-0.009254511,2.5979085,-1.068757,1.7285767,-0.3298599,9.6010275,-1.9702406,0.7560335,-1.6992811,0.23737867,0.005572244,0.7713611,0.63586956,0.025316168,downstairs
2.2770705,7.3828645,1.1789029,2.934197,-1.5193491,1.8077699,-0.33934486,9.562864,-2.1463597,0.54404604,-1.7930242,0.27253237,0.032646473,0.7787385,0.62465054,0.048086084,downstairs
1.7021556,7.119362,1.3992869,2.110831,-2.2148948,4.1083,-0.32652763,9.54729,-2.2165346,-0.30709946,-1.4574662,0.3364482,0.061924633,0.78115374,0.61721706,0.070762016,downstairs
0.61939925,6.8366957,0.77646244,1.1451042,-2.0533228,2.7552743,-0.3779519,9.602313,-1.9552782,-0.27088052,-1.683302,0.11593862,0.10096217,0.76846415,0.6228621,0.10635944,downstairs
1.0218396,8.000897,0.73334384,1.505593,-1.3794632,2.5786796,-0.42620978,9.631654,-1.7944306,-0.9419966,-1.0824934,-0.1812699,0.11108438,0.76228607,0.6264203,0.119070515,downstairs
-0.808306,7.4259834,-1.5902704,0.36432332,-1.883985,0.65812993,-0.74674463,9.722083,-1.0458754,-2.0275002,-1.2689146,-0.602049,0.117326744,0.7394854,0.64567894,0.1499819,downstairs
-3.4481232,21.808435,-0.8045534,-2.9131355,12.739764,-2.4022996,-0.47436464,9.689096,1.4376336,-4.414756,-0.37728903,2.5926764,0.12935005,0.6866225,0.6887356,0.19354928,downstairs
0.4133881,19.67646,2.5634894,-3.8241107,12.817951,-4.5497375,0.5142877,9.4652815,2.5128376,-2.6272435,-2.243631,3.2137249,0.18224435,0.5745084,0.7781852,0.17650758,downstairs
1.9033757,14.152487,6.2046165,-0.19149518,5.467739,3.2676914,2.0409684,9.012038,3.2845082,-1.8378832,-2.292633,2.7588575,0.26559442,0.50466686,0.8020035,0.17765522,downstairs
3.7335215,8.005689,1.8879645,0.17403913,-1.0331359,-2.4199083,3.5458872,8.165496,4.1136045,-1.3904725,0.41207123,2.0973287,0.28716186,0.4695196,0.8209348,0.15216938,downstairs
2.2914433,-0.062282898,0.47463214,-2.2555788,-8.812718,-5.267326,3.6896112,7.8673506,4.5455413,-0.3177521,1.5455116,-0.7128364,0.25097394,0.4414677,0.8577104,0.080319256,downstairs
-1.1772096,-1.5331068,0.44588643,-4.8548493,-10.197935,-2.4704752,3.1144142,7.8914185,4.918975,1.4378021,0.09036164,-1.5213715,0.20816505,0.4564982,0.86179495,0.07474086,downstairs
1.3763705,1.1881568,2.0316932,-1.4371799,-7.9227586,-1.5518985,2.2306705,8.605239,4.140574,3.0964174,0.6581471,-1.2497293,0.18470481,0.49987492,0.84251153,0.078635156,downstairs
5.654695,8.642886,3.282133,4.146056,-0.25423336,0.9183817,1.6108733,9.202062,2.9828749,3.659942,1.1204715,-1.5373504,0.1377002,0.5843935,0.7976243,0.05760519,downstairs
-2.916327,12.370251,4.2451153,-3.1890755,2.706624,2.4934115,0.66854197,9.7090845,1.2071087,2.9675207,1.7681518,-1.1037881,0.10676581,0.63501185,0.7631931,0.053826768,downstairs
-5.9969125,11.804917,10.722489,-9.025801,0.5839939,10.276097,0.42293778,9.667278,1.5922462,-3.1076772,0.76147765,-0.22707623,0.05754892,0.64459765,0.7615701,0.03453893,downstairs
1.5919635,20.902945,11.148885,10.424306,28.768269,15.5479355,0.291013,9.684795,1.5134227,-0.9004513,-1.0057945,0.45149666,0.04027343,0.65213364,0.75624967,0.034441043,downstairs
0.5427439,3.0135114,-3.2479415,3.5420828,-4.3923073,-0.09822047,0.78803647,9.59653,1.8590267,-0.83653545,-0.28993744,0.70183355,0.082894385,0.6318844,0.7696673,0.03824763,downstairs
1.1895232,15.800575,0.69980717,0.322289,7.502882,-1.5354531,0.79303485,9.675639,1.3869034,1.7797517,-0.96424925,-0.16529095,0.07701366,0.64512163,0.7596564,0.028443534,downstairs
2.090223,13.261369,2.496416,0.9075107,4.235712,1.3280994,0.7612681,9.721838,1.0376531,0.114744864,0.021119514,-0.618028,0.08414563,0.6708316,0.7354374,0.045124974,downstairs
0.29361418,12.743945,5.6967754,0.14882445,3.9310617,3.022061,0.58234096,9.736456,1.0162207,-1.9199085,-1.0750366,0.9191473,0.08337464,0.6680905,0.73760575,0.051394884,downstairs
-1.9868814,1.8780546,-2.8167553,-3.3746808,-7.7370915,-5.6040134,1.2832454,9.34069,2.6972563,-2.5100644,-0.82683027,0.7646841,0.116362214,0.5998217,0.78993756,0.05169581,downstairs
