AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-1.7808702,7.1768537,-4.4792175,1.4431906,-1.1556787,-1.0908606,-3.0429595,8.452167,-3.933404,-0.4935206,-0.9567924,0.3822545,0.49082974,-0.67887414,-0.5248423,0.15085289,downstairs
-1.7808702,6.9516783,-1.9208463,1.2388518,-1.1286802,2.0207295,-3.09682,8.564759,-3.6366177,-0.10896047,-0.5519923,0.26401028,0.47240618,-0.68045324,-0.54145825,0.1436619,downstairs
-3.4577053,8.791406,-1.1926209,-0.7792196,1.1081924,-1.3457603,-3.0086553,8.573241,-3.690246,0.65483344,0.33750278,0.32046923,0.46349874,-0.6872733,-0.5412717,0.1408874,downstairs
-1.9725085,9.289665,-9.485767,1.0808141,1.1531019,-4.245212,-2.5773582,8.297628,-4.547195,-0.23040053,-0.81298184,0.42060402,0.48162594,-0.7071445,-0.4950983,0.15119797,downstairs
-3.0840106,7.866751,-5.7919397,0.32590175,-1.0447297,-1.3425941,-2.5839608,8.344976,-4.455884,-0.62774384,-1.0878198,0.4120819,0.4723464,-0.70894414,-0.5022499,0.14843228,downstairs
-2.7821803,8.46562,-2.5963714,2.0130868,-0.7893324,1.0602536,-2.505395,8.597056,-3.9980004,-0.3816679,-0.17595424,0.54204404,0.44952884,-0.71010023,-0.52161926,0.14695172,downstairs
-1.9772995,9.366321,-3.957003,1.5694331,0.3972702,-1.7318575,-2.5259635,8.599781,-3.9791548,0.5770692,-0.49659854,-1.0270891,0.4487415,-0.7079366,-0.5238644,0.15173326,downstairs
-1.1293,8.202118,-5.763194,1.7798944,0.12036514,0.1973772,-2.9990523,8.377771,-4.1217756,0.43325868,-1.0707755,-1.2358809,0.46242905,-0.7040198,-0.52306557,0.13006894,downstairs
-3.8984733,6.764831,-2.069366,-0.79469967,-0.684886,-0.6972785,-3.9730644,8.078142,-3.8895683,-0.031196244,-0.8076555,-1.1463987,0.46872774,-0.69265026,-0.54225165,0.08057959,downstairs
-5.968167,8.5614395,-4.000122,-0.9675522,0.9183178,1.7996216,-4.3954453,8.082781,-3.393982,-0.36355844,-1.0100555,-0.39219207,0.471658,-0.6807114,-0.556493,0.06697985,downstairs
